session_id,dialogue_response
356_turn_003,whatever comes to your mind
356_turn_004,how close are you to your family
356_turn_005,what are some things that make you really mad
356_turn_006,can you give me an example of that
356_turn_007,how do you cope with them
356_turn_008,that's good
356_turn_009,that's good
356_turn_010,have you ever been diagnosed with p_t_s_d
356_turn_011,have you been diagnosed with depression
356_turn_012,how long ago were you diagnosed
356_turn_013,that's a long time
356_turn_014,what were your symptoms
356_turn_015,do you still go to therapy now
356_turn_016,why did you stop
356_turn_017,what sort of changes have you noticed since you've been going to therapy
356_turn_018,that makes sense
356_turn_019,uh huh
356_turn_020,uh huh
356_turn_021,i love listening to people talk
356_turn_022,goodbye
357_turn_000,where are you from originally
357_turn_001,what are some things you don't really like about l_a
357_turn_002,are you still working in that
357_turn_003,what's your dream job
357_turn_004,do you consider yourself an introvert
357_turn_005,let's come back to that later
357_turn_006,what do you do to relax
357_turn_007,what are some things that make you really mad
357_turn_008,what do you do when you're annoyed
357_turn_009,how are you at controlling your temper
357_turn_010,when was the last time you argued with someone and what was it about
357_turn_011,what are some things you like to do for fun
357_turn_012,how close are you to your family
357_turn_013,who's someone that's been a positive influence in your life
357_turn_014,have you ever served in the military
357_turn_015,have you ever been diagnosed with p_t_s_d
357_turn_016,have you been diagnosed with depression
357_turn_017,how easy is it for you to get a good night's sleep
357_turn_018,what are you like when you don't sleep well
357_turn_019,how have you been feeling lately
357_turn_020,when was the last time you felt really happy
357_turn_021,how would your best friend describe you
357_turn_022,what are you most proud of in your life
357_turn_023,is there anything you regret
357_turn_024,what advice would you give yourself ten or twenty years ago
357_turn_025,what's one of your most memorable experiences
357_turn_026,tell me about something you did recently that you really enjoyed
357_turn_027,okay i think i've asked everything i need to
358_turn_000,when'd you move to l_a
358_turn_001,how easy was it for you to get used to living in l_a
358_turn_002,what are some things you really like about l_a
358_turn_003,what are some things you don't really like about l_a
358_turn_004,how often do you go back to your home town
358_turn_005,how does it compare to l_a
358_turn_006,do you travel a lot
358_turn_007,what do you do now
358_turn_008,do you consider yourself an introvert
358_turn_009,what do you do when you're annoyed
358_turn_010,how are you at controlling your temper
358_turn_011,when was the last time you argued with someone and what was it about
358_turn_012,who's someone that's been a positive influence in your life
358_turn_013,what are some things you like to do for fun
358_turn_014,how close are you to your family
358_turn_015,have you ever served in the military
358_turn_016,have you ever been diagnosed with p_t_s_d
358_turn_017,have you been diagnosed with depression
358_turn_018,how long ago were you diagnosed
358_turn_019,what got you to seek help
358_turn_020,do you still go to therapy now
358_turn_021,why did you stop
358_turn_022,do you feel like therapy's useful
358_turn_023,how have you been feeling lately
358_turn_024,have you noticed any changes in your behavior or thoughts lately
358_turn_025,how do you cope with them
358_turn_026,how do you cope with them
358_turn_027,let's come back to that later
358_turn_028,tell me about something you did recently that you really enjoyed
358_turn_029,is there anything you regret
358_turn_030,what are you most proud of in your life
358_turn_031,how would your best friend describe you
358_turn_032,what would you say are some of your best qualities
358_turn_033,okay i think i've asked everything i need to
360_turn_000,where are you from originally
360_turn_001,what are some things you don't really like about l_a
360_turn_002,do you travel a lot
360_turn_003,what'd you study at school
360_turn_004,how did you decide to do that
360_turn_005,are you still working in that
360_turn_006,what do you do now
360_turn_007,what's your dream job
360_turn_008,do you consider yourself an introvert
360_turn_009,what do you do when you're annoyed
360_turn_010,what are some things that make you really mad
360_turn_011,how are you at controlling your temper
360_turn_012,when was the last time you argued with someone and what was it about
360_turn_013,have you ever served in the military
360_turn_014,have you ever been diagnosed with p_t_s_d
360_turn_015,have you been diagnosed with depression
360_turn_016,how easy is it for you to get a good night's sleep
360_turn_017,what are you like when you don't sleep well
360_turn_018,how have you been feeling lately
360_turn_019,have you noticed any changes in your behavior or thoughts lately
360_turn_020,is there anything you regret
360_turn_021,what advice would you give yourself ten or twenty years ago
360_turn_022,when was the last time you felt really happy
360_turn_023,tell me about something you did recently that you really enjoyed
360_turn_024,how close are you to your family
360_turn_025,who's someone that's been a positive influence in your life
360_turn_026,what are you most proud of in your life
360_turn_027,what would you say are some of your best qualities
360_turn_028,okay i think i've asked everything i need to
362_turn_000,what are some things you really like about l_a
362_turn_001,what are some things you don't really like about l_a
362_turn_002,do you travel a lot
362_turn_003,are you still working in that
362_turn_004,what's your dream job
362_turn_005,do you consider yourself an introvert
362_turn_006,what are some things that make you really mad
362_turn_007,what do you do when you're annoyed
362_turn_008,how are you at controlling your temper
362_turn_009,when was the last time you argued with someone and what was it about
362_turn_010,how close are you to your family
362_turn_011,tell me about your kids
362_turn_012,what's the hardest thing about being a parent
362_turn_013,what's the best thing about being a parent
362_turn_014,what's one of your most memorable experiences
362_turn_015,how would your best friend describe you
362_turn_016,have you ever served in the military
362_turn_017,have you ever been diagnosed with p_t_s_d
362_turn_018,how long ago were you diagnosed
362_turn_019,what got you to seek help
362_turn_020,do you still go to therapy now
362_turn_021,do you feel like therapy's useful
362_turn_022,what sort of changes have you noticed since you've been going to therapy
362_turn_023,how have you been feeling lately
362_turn_024,have you noticed any changes in your behavior or thoughts lately
362_turn_025,how do you cope with them
362_turn_026,how easy is it for you to get a good night's sleep
362_turn_027,what are you like when you don't sleep well
362_turn_028,are they triggered by something
362_turn_029,tell me about something you did recently that you really enjoyed
362_turn_030,what are you most proud of in your life
362_turn_031,is there anything you regret
362_turn_032,what advice would you give yourself ten or twenty years ago
362_turn_033,who's someone that's been a positive influence in your life
362_turn_034,what are some things that usually put you in a good mood
362_turn_035,okay i think i've asked everything i need to
363_turn_000,great_thanks (i'm great thanks)
363_turn_001,really (really)
363_turn_002,mhm (mhm)
363_turn_003,yeah2 (yeah)
363_turn_004,see_mean (i see what you mean)
363_turn_005,still_doing_X (are you still doing that)
363_turn_006,change_directions (what made you decide to do that)
363_turn_007,happy_didthat (are you happy you did that)
363_turn_008,thats_great (that's great)
363_turn_009,great_situation (that sounds like a great situation)
363_turn_010,tell_about_that (can you tell me about that)
363_turn_011,Ellie17Dec2012_06 (wow)
363_turn_012,okay_confirm (okay)
363_turn_013,aw (aw)
363_turn_014,last_argument (when was the last time you argued with someone and what was it about)
363_turn_015,yeah2 (yeah)
363_turn_016,hard_decisionB (tell me about the hardest decision you've ever had to make)
363_turn_017,yeah_downer (yeah)
363_turn_018,wow (wow)
363_turn_019,yeah_downer (yeah)
363_turn_020,give_example (can you give me an example of that)
363_turn_021,yeah_downer (yeah)
363_turn_022,im_sorry (i'm sorry)
363_turn_023,depression_diagnosed (have you been diagnosed with depression)
363_turn_024,easy_sleep (how easy is it for you to get a good night's sleep)
363_turn_025,thats_good (that's good)
363_turn_026,thats_great (that's great)
363_turn_027,good_hear (that's so good to hear)
363_turn_028,symptoms_cope (how do you cope with them)
363_turn_029,mm (mm)
363_turn_030,yeah_downer (yeah)
363_turn_031,uh_huh (uh huh)
363_turn_032,yeah3 (yeah)
363_turn_033,mhm (mhm)
363_turn_034,uh_huh (uh huh)
363_turn_035,nice (nice)
364_turn_000,thats_good (that's good)
364_turn_001,really (really)
364_turn_002,yeah2 (yeah)
364_turn_003,that_sucks (that sucks)
364_turn_004,mm (mm)
364_turn_005,mhm (mhm)
364_turn_006,like_what (like what)
364_turn_007,travel_trips (i'd love to hear about one of your trips)
364_turn_008,nice (nice)
364_turn_009,wild_laughter3 ((laughter))
364_turn_010,study (what did you study at school)
364_turn_011,change_directions (what made you decide to do that)
364_turn_012,mhm (mhm)
364_turn_013,dream_job (what's your dream job)
364_turn_014,aw (aw)
364_turn_015,yeah3 (yeah)
364_turn_016,shyoutgoing (do you consider yourself more shy or outgoing)
364_turn_017,okay_confirm (okay)
364_turn_018,thats_great (that's great)
364_turn_019,yeah2 (yeah)
364_turn_020,control_temper (how are you at controlling your temper)
364_turn_021,uh_huh (uh huh)
364_turn_022,last_argument (when was the last time you argued with someone and what was it about)
364_turn_023,describe_felt (how did you feel in that moment)
364_turn_024,yeah_downer (yeah)
364_turn_025,mhm (mhm)
364_turn_026,im_sorry (i'm sorry)
364_turn_027,isee_downer (i see)
364_turn_028,Ellie17Dec2012_02 (uh huh)
364_turn_029,yeah2 (yeah)
364_turn_030,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
364_turn_031,why_enlist (why'd you decide to enlist in the military)
364_turn_032,old (how old were you when you joined the military)
364_turn_033,very_young (you were very young weren't you)
364_turn_034,combat (did you ever see combat)
364_turn_035,tell_about_that (can you tell me about that)
364_turn_036,Ellie17Dec2012_06 (wow)
364_turn_037,why2 (why)
364_turn_038,mhm (mhm)
364_turn_039,right2 (right)
364_turn_040,after (what did you do after the military)
364_turn_041,civilian_life (how easy was it for you to go back to civilian life)
364_turn_042,mm (mm)
364_turn_043,thats_good (that's good)
364_turn_044,feel_lately (how have you been feeling lately)
364_turn_045,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
364_turn_046,okay_confirm (okay)
364_turn_047,therapy_useful (do you feel like therapy is useful)
364_turn_048,why_seek_help (what got you to seek help)
364_turn_049,understand (i understand)
364_turn_050,therapy_going (do you still go to therapy now)
364_turn_051,okay_confirm (okay)
364_turn_052,yeah2 (yeah)
364_turn_053,uh_huh (uh huh)
364_turn_054,uh_huh (uh huh)
364_turn_055,thats_great (that's great)
364_turn_056,BF_describe (how would your best friend describe you)
364_turn_057,mhm (mhm)
364_turn_058,yeah3 (yeah)
364_turn_059,landed_trouble (has that gotten you in trouble)
364_turn_060,okay_confirm (okay)
364_turn_061,regret (is there anything you regret)
364_turn_062,advice_back (what advice would you give to yourself ten or twenty years ago)
364_turn_063,Ellie17Dec2012_08 (what are you most proud of in your life)
364_turn_064,mhm (mhm)
364_turn_065,asked_everything (okay i think i have asked everything i need to)
364_turn_066,bye (goodbye)
366_turn_000,really (really)
366_turn_001,see_mean (i see what you mean)
366_turn_002,yeah3 (yeah)
366_turn_003,like_what (like what)
366_turn_004,awesome (awesome)
366_turn_005,mhm (mhm)
366_turn_006,yeah3 (yeah)
366_turn_007,wild_laughter3 ((laughter))
366_turn_008,wow (wow)
366_turn_009,wild_laughter3 ((laughter))
366_turn_010,hard_decision (how did you decide to do that)
366_turn_011,cool3 (cool)
366_turn_012,okay_confirm (okay)
366_turn_013,really (really)
366_turn_014,aw (aw)
366_turn_015,okay_confirm (okay)
366_turn_016,control_temper (how are you at controlling your temper)
366_turn_017,landed_trouble (has that gotten you in trouble)
366_turn_018,describe_felt (how did you feel in that moment)
366_turn_019,uh_huh (uh huh)
366_turn_020,okay_confirm (okay)
366_turn_021,okay_confirm (okay)
366_turn_022,feel_lately (how have you been feeling lately)
366_turn_023,depression_diagnosed (have you been diagnosed with depression)
366_turn_024,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
366_turn_025,yeah_downer (yeah)
366_turn_026,advice_back (what advice would you give to yourself ten or twenty years ago)
366_turn_027,memory_erase (tell me about an event or something that you wish you could erase from your memory)
366_turn_028,tell_about_that (can you tell me about that)
366_turn_029,Ellie17Dec2012_06 (wow)
366_turn_030,wow (wow)
366_turn_031,uh_huh (uh huh)
366_turn_032,cool3 (cool)
366_turn_033,mhm (mhm)
366_turn_034,mm (mm)
366_turn_035,yeah3 (yeah)
366_turn_036,why2 (why)
366_turn_037,yeah2 (yeah)
366_turn_038,wild_laughter3 ((laughter))
366_turn_039,thats_good (that's good)
366_turn_040,asked_everything (okay i think i have asked everything i need to)
366_turn_041,bye (goodbye)
368_turn_000,okay_confirm (okay)
368_turn_001,thats_good (that's good)
368_turn_002,cool3 (cool)
368_turn_003,uh_huh (uh huh)
368_turn_004,yeah3 (yeah)
368_turn_005,mhm (mhm)
368_turn_006,travel_changed (what do you enjoy about traveling)
368_turn_007,yeah3 (yeah)
368_turn_008,still_working_on_X (are you still working in that)
368_turn_009,yeah_downer (yeah)
368_turn_010,that_sucks (that sucks)
368_turn_011,shyoutgoing (do you consider yourself more shy or outgoing)
368_turn_012,yeah3 (yeah)
368_turn_013,nice (nice)
368_turn_014,okay_confirm (okay)
368_turn_015,mhm (mhm)
368_turn_016,feelguilty (what's something you feel guilty about)
368_turn_017,give_example (can you give me an example of that)
368_turn_018,mhm (mhm)
368_turn_019,uh_huh (uh huh)
368_turn_020,aw (aw)
368_turn_021,good_hear (that's so good to hear)
368_turn_022,thats_good (that's good)
368_turn_023,yeah_downer (yeah)
368_turn_024,right2 (right)
368_turn_025,mhm (mhm)
368_turn_026,yeah_downer (yeah)
368_turn_027,depression_diagnosed (have you been diagnosed with depression)
368_turn_028,happy_lasttime (tell me about the last time you felt really happy)
368_turn_029,uh_huh (uh huh)
368_turn_030,yeah_downer (yeah)
368_turn_031,right2 (right)
368_turn_032,yeah3 (yeah)
368_turn_033,yeah2 (yeah)
368_turn_034,okay_confirm (okay)
368_turn_035,mm (mm)
368_turn_036,mhm (mhm)
368_turn_037,thank_you (thank you)
368_turn_038,yes (yes)
369_turn_000,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)
369_turn_001,great_thanks (i'm great thanks)
369_turn_002,really (really)
369_turn_003,often_backB (how often do you go back to your hometown)
369_turn_004,why2 (why)
369_turn_005,yeah3 (yeah)
369_turn_006,mhm (mhm)
369_turn_007,yeah2 (yeah)
369_turn_008,wild_laughter3 ((laughter))
369_turn_009,thats_good (that's good)
369_turn_010,dream_job (what's your dream job)
369_turn_011,mhm (mhm)
369_turn_012,shyoutgoing (do you consider yourself more shy or outgoing)
369_turn_013,uh_huh (uh huh)
369_turn_014,thats_great (that's great)
369_turn_015,control_temper (how are you at controlling your temper)
369_turn_016,mhm (mhm)
369_turn_017,yeah3 (yeah)
369_turn_018,okay_confirm (okay)
369_turn_019,feelguilty (what's something you feel guilty about)
369_turn_020,Ellie17Dec2012_03 (that's good)
369_turn_021,okay_confirm (okay)
369_turn_022,yeah3 (yeah)
369_turn_023,nice (nice)
369_turn_024,aw (aw)
369_turn_025,uh_huh (uh huh)
369_turn_026,sleep_affects (what are you like when you don't sleep well)
369_turn_027,uh_huh (uh huh)
369_turn_028,okay_confirm (okay)
369_turn_029,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
369_turn_030,feel_lately (how have you been feeling lately)
369_turn_031,thats_great (that's great)
369_turn_032,right2 (right)
369_turn_033,yeah3 (yeah)
369_turn_034,mhm (mhm)
369_turn_035,uh_huh (uh huh)
369_turn_036,advice_back (what advice would you give to yourself ten or twenty years ago)
369_turn_037,yeah3 (yeah)
369_turn_038,difficult (how hard is that)
369_turn_039,mhm (mhm)
369_turn_040,yeah3 (yeah)
369_turn_041,good_hear (that's so good to hear)
369_turn_042,bye (goodbye)
370_turn_000,thats_good (that's good)
370_turn_001,really (really)
370_turn_002,cool3 (cool)
370_turn_003,uh_huh (uh huh)
370_turn_004,travel_changed (what do you enjoy about traveling)
370_turn_005,yeah3 (yeah)
370_turn_006,travel_trips (i'd love to hear about one of your trips)
370_turn_007,yeah2 (yeah)
370_turn_008,awesome (awesome)
370_turn_009,uh_huh (uh huh)
370_turn_010,last_argument (when was the last time you argued with someone and what was it about)
370_turn_011,okay_confirm (okay)
370_turn_012,see_mean (i see what you mean)
370_turn_013,yeah3 (yeah)
370_turn_014,okay_confirm (okay)
370_turn_015,mhm (mhm)
370_turn_016,yeah3 (yeah)
370_turn_017,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
370_turn_018,okay_confirm (okay)
370_turn_019,depression_diagnosed (have you been diagnosed with depression)
370_turn_020,regret (is there anything you regret)
370_turn_021,advice_back (what advice would you give to yourself ten or twenty years ago)
370_turn_022,mm (mm)
370_turn_023,bouts_symptoms (when was the last time that happened)
370_turn_024,yeah_downer (yeah)
370_turn_025,nice (nice)
370_turn_026,aw (aw)
370_turn_027,good_hear (that's so good to hear)
370_turn_028,BF_describe (how would your best friend describe you)
370_turn_029,wild_laughter3 ((laughter))
370_turn_030,mhm (mhm)
370_turn_031,mhm (mhm)
370_turn_032,bye (goodbye)
371_turn_000,thats_good (that's good)
371_turn_001,really (really)
371_turn_002,like_about_LA (what are some things you really like about l_a)
371_turn_003,dont_like_LA (what are some things you don't really like about l_a)
371_turn_004,see_mean (i see what you mean)
371_turn_005,travel_trips (i'd love to hear about one of your trips)
371_turn_006,wild_laughter3 ((laughter))
371_turn_007,cool3 (cool)
371_turn_008,hard_decision (how did you decide to do that)
371_turn_009,still_doing_X (are you still doing that)
371_turn_010,dream_job (what's your dream job)
371_turn_011,okay_confirm (okay)
371_turn_012,why2 (why)
371_turn_013,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
371_turn_014,cool3 (cool)
371_turn_015,last_argument (when was the last time you argued with someone and what was it about)
371_turn_016,tell_about_that (can you tell me about that)
371_turn_017,mhm (mhm)
371_turn_018,okay_confirm (okay)
371_turn_019,uh_huh (uh huh)
371_turn_020,avoid (could you have done anything to avoid it)
371_turn_021,mm (mm)
371_turn_022,more (tell me more about that)
371_turn_023,wow (wow)
371_turn_024,why2 (why)
371_turn_025,like_what (like what)
371_turn_026,uncomfortable_talkV (is it uncomfortable for you to talk about this)
371_turn_027,feel_down (do you feel down)
371_turn_028,im_sorry (i'm sorry)
371_turn_029,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
371_turn_030,disturbing_thoughts (do you have disturbing thoughts)
371_turn_031,trigger (are they triggered by something)
371_turn_032,okay_confirm (okay)
371_turn_033,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed)
371_turn_034,thats_good (that's good)
371_turn_035,memory_erase (tell me about an event or something that you wish you could erase from your memory)
371_turn_036,give_example (can you give me an example of that)
371_turn_037,difficult (how hard is that)
371_turn_038,tell_about_that (can you tell me about that)
371_turn_039,yeah_downer (yeah)
371_turn_040,landed_trouble (has that gotten you in trouble)
371_turn_041,downer (okay)
371_turn_042,Ellie17Dec2012_08 (what are you most proud of in your life)
371_turn_043,okay_confirm (okay)
371_turn_044,mhm (mhm)
371_turn_045,advice_back (what advice would you give to yourself ten or twenty years ago)
371_turn_046,mm (mm)
371_turn_047,uh_huh (uh huh)
371_turn_048,okay_confirm (okay)
371_turn_049,thats_great (that's great)
371_turn_050,been_hard (that sounds really hard)
371_turn_051,how_close (how close are you to them)
372_turn_000,thats_good (that's good)
372_turn_001,where_originally (where are you from originally)
372_turn_002,really (really)
372_turn_003,dont_like_LA (what are some things you don't really like about l_a)
372_turn_004,tell_about_that (can you tell me about that)
372_turn_005,yeah3 (yeah)
372_turn_006,okay_confirm (okay)
372_turn_007,hard_decision (how did you decide to do that)
372_turn_008,mhm (mhm)
372_turn_009,thats_great (that's great)
372_turn_010,job_virtually (i love my job you could almost say it's virtually made for me what's your dream job)
372_turn_011,nice (nice)
372_turn_012,argument_about (what was it about)
372_turn_013,aw (aw)
372_turn_014,awesome (awesome)
372_turn_015,yeah_downer (yeah)
372_turn_016,yeah3 (yeah)
372_turn_017,mm (mm)
372_turn_018,give_example (can you give me an example of that)
372_turn_019,wild_laughter3 ((laughter))
372_turn_020,okay_confirm (okay)
372_turn_021,been_hard (that sounds really hard)
372_turn_022,parent_differences (what are some ways that you're different as a parent than your parents)
372_turn_023,yeah2 (yeah)
372_turn_024,uh_huh (uh huh)
372_turn_025,yeah3 (yeah)
372_turn_026,okay_confirm (okay)
372_turn_027,uh_huh (uh huh)
372_turn_028,control_temper (how are you at controlling your temper)
372_turn_029,last_argument (when was the last time you argued with someone and what was it about)
372_turn_030,that_sucks (that sucks)
372_turn_031,situation_handled (tell me about a situation that you wish you had handled differently)
372_turn_032,oh_no (oh no)
372_turn_033,right2 (right)
372_turn_034,yeah_downer (yeah)
372_turn_035,hmm_downer (hmm)
372_turn_036,yeah_downer (yeah)
372_turn_037,yeah_downer (yeah)
372_turn_038,why_seek_help (what got you to seek help)
372_turn_039,understand (i understand)
372_turn_040,symptoms_what (what were your symptoms)
372_turn_041,therapy_going (do you still go to therapy now)
372_turn_042,therapy_useful (do you feel like therapy is useful)
372_turn_043,Ellie17Dec2012_03 (that's good)
372_turn_044,mhm (mhm)
372_turn_045,thats_good (that's good)
372_turn_046,happy_lasttime (tell me about the last time you felt really happy)
372_turn_047,ideal_weekendC (tell me how you spend your ideal weekend)
372_turn_048,uh_huh (uh huh)
372_turn_049,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed)
372_turn_050,mind (whatever comes to your mind)
372_turn_051,awesome (awesome)
372_turn_052,wow (wow)
372_turn_053,mhm (mhm)
372_turn_054,BF_describe (how would your best friend describe you)
372_turn_055,Ellie17Dec2012_07 (what would you say are some of your best qualities)
372_turn_056,asked_everything (okay i think i have asked everything i need to)
372_turn_057,yes (yes)
374_turn_000,really (really)
374_turn_001,long_time (that's a long time)
374_turn_002,often_backB (how often do you go back to your hometown)
374_turn_003,compares_LA (how does it compare to l_a)
374_turn_004,mhm (mhm)
374_turn_005,cool3 (cool)
374_turn_006,uh_huh (uh huh)
374_turn_007,thats_great (that's great)
374_turn_008,dream_job (what's your dream job)
374_turn_009,understand (i understand)
374_turn_010,travel_changed (what do you enjoy about traveling)
374_turn_011,travel_trips (i'd love to hear about one of your trips)
374_turn_012,awesome (awesome)
374_turn_013,okay_confirm (okay)
374_turn_014,last_argument (when was the last time you argued with someone and what was it about)
374_turn_015,describe_felt (how did you feel in that moment)
374_turn_016,that_sucks (that sucks)
374_turn_017,family_relationship (tell me about your relationship with your family)
374_turn_018,thats_good (that's good)
374_turn_019,isee_downer (i see)
374_turn_020,why2 (why)
374_turn_021,trigger (are they triggered by something)
374_turn_022,sleep_affects (what are you like when you don't sleep well)
374_turn_023,understand (i understand)
374_turn_024,depression_diagnosed (have you been diagnosed with depression)
374_turn_025,when_diagnosed (how long ago were you diagnosed)
374_turn_026,why_seek_help (what got you to seek help)
374_turn_027,symptoms_what (what were your symptoms)
374_turn_028,been_hard (that sounds really hard)
374_turn_029,therapy_useful (do you feel like therapy is useful)
374_turn_030,therapy_changes (what sort of changes have you noticed since you've been going to therapy)
374_turn_031,okay_confirm (okay)
374_turn_032,tell_about_that (can you tell me about that)
374_turn_033,aw (aw)
374_turn_034,okay_confirm (okay)
374_turn_035,oh_no (oh no)
374_turn_036,yeah_downer (yeah)
374_turn_037,thats_great (that's great)
374_turn_038,mm (mm)
374_turn_039,asked_everything (okay i think i have asked everything i need to)
375_turn_000,thats_good (that's good)
375_turn_001,from_LA2 (i am from l_a)
375_turn_002,cool3 (cool)
375_turn_003,why2 (why)
375_turn_004,see_mean (i see what you mean)
375_turn_005,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)
375_turn_006,travel_changed (what do you enjoy about traveling)
375_turn_007,travel_trips (i'd love to hear about one of your trips)
375_turn_008,nice (nice)
375_turn_009,study (what did you study at school)
375_turn_010,dream_job (what's your dream job)
375_turn_011,why2 (why)
375_turn_012,shyoutgoing (do you consider yourself more shy or outgoing)
375_turn_013,control_temper (how are you at controlling your temper)
375_turn_014,describe_felt (how did you feel in that moment)
375_turn_015,family_relationship (tell me about your relationship with your family)
375_turn_016,give_example (can you give me an example of that)
375_turn_017,that_sucks (that sucks)
375_turn_018,avoid (could you have done anything to avoid it)
375_turn_019,memory_erase (tell me about an event or something that you wish you could erase from your memory)
375_turn_020,tell_about_that (can you tell me about that)
375_turn_021,landed_trouble (has that gotten you in trouble)
375_turn_022,influence_positive (who's someone that's been a positive influence in your life)
375_turn_023,mind (whatever comes to your mind)
375_turn_024,thats_great (that's great)
375_turn_025,awesome (awesome)
375_turn_026,sleep_affects (what are you like when you don't sleep well)
375_turn_027,feel_lately (how have you been feeling lately)
375_turn_028,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
375_turn_029,difficult (how hard is that)
375_turn_030,okay_confirm (okay)
375_turn_031,depression_diagnosed (have you been diagnosed with depression)
375_turn_032,feel_down (do you feel down)
375_turn_033,happy_lasttime (tell me about the last time you felt really happy)
375_turn_034,like_what (like what)
375_turn_035,okay_confirm (okay)
375_turn_036,mhm (mhm)
375_turn_037,feelbadly (tell me about a time when someone made you feel really badly about yourself)
375_turn_038,Ellie17Dec2012_09 (what are some things that usually put you in a good mood)
375_turn_039,thats_good (that's good)
375_turn_040,regret (is there anything you regret)
375_turn_041,hard_decisionB (tell me about the hardest decision you've ever had to make)
375_turn_042,asked_everything (okay i think i have asked everything i need to)
376_turn_000,where_originally (where are you from originally)
376_turn_001,really (really)
376_turn_002,often_backB (how often do you go back to your hometown)
376_turn_003,compares_LA (how does it compare to l_a)
376_turn_004,uh_huh (uh huh)
376_turn_005,thats_good (that's good)
376_turn_006,nice (nice)
376_turn_007,okay_confirm (okay)
376_turn_008,sorry_hear (i'm sorry to hear that)
376_turn_009,job_virtually (i love my job you could almost say it's virtually made for me what's your dream job)
376_turn_010,mhm (mhm)
376_turn_011,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
376_turn_012,control_temper (how are you at controlling your temper)
376_turn_013,last_argument (when was the last time you argued with someone and what was it about)
376_turn_014,yeah_downer (yeah)
376_turn_015,okay_confirm (okay)
376_turn_016,uncomfortable_talkV (is it uncomfortable for you to talk about this)
376_turn_017,im_sorry (i'm sorry)
376_turn_018,okay_confirm (okay)
376_turn_019,yeah2 (yeah)
376_turn_020,trigger (are they triggered by something)
376_turn_021,been_hard (that sounds really hard)
376_turn_022,uh_huh (uh huh)
376_turn_023,wild_laughter3 ((laughter))
376_turn_024,feel_lately (how have you been feeling lately)
376_turn_025,Ellie17Dec2012_03 (that's good)
376_turn_026,isee_downer (i see)
376_turn_027,when_diagnosed (how long ago were you diagnosed)
376_turn_028,why_seek_help (what got you to seek help)
376_turn_029,therapist_useful (is going to a therapist helping you)
376_turn_030,yeah3 (yeah)
376_turn_031,okay_confirm (okay)
376_turn_032,easy_parent (do you find it easy to be a parent)
376_turn_033,sorry_hear (i'm sorry to hear that)
376_turn_034,thats_great (that's great)
376_turn_035,right2 (right)
376_turn_036,self_change (what are some things you wish you could change about yourself)
376_turn_037,uh_huh (uh huh)
376_turn_038,ideal_weekendC (tell me how you spend your ideal weekend)
376_turn_039,wild_laughter3 ((laughter))
376_turn_040,Ellie17Dec2012_09 (what are some things that usually put you in a good mood)
376_turn_041,asked_everything (okay i think i have asked everything i need to)
376_turn_042,bye (goodbye)
379_turn_000,okay_confirm (okay)
379_turn_001,thats_good (that's good)
379_turn_002,cool3 (cool)
379_turn_003,like_about_LA (what are some things you really like about l_a)
379_turn_004,yeah3 (yeah)
379_turn_005,mhm (mhm)
379_turn_006,travel_changed (what do you enjoy about traveling)
379_turn_007,yeah3 (yeah)
379_turn_008,travel_trips (i'd love to hear about one of your trips)
379_turn_009,nice (nice)
379_turn_010,mhm (mhm)
379_turn_011,thats_great (that's great)
379_turn_012,yeah2 (yeah)
379_turn_013,uh_huh (uh huh)
379_turn_014,okay_confirm (okay)
379_turn_015,thats_good (that's good)
379_turn_016,mhm (mhm)
379_turn_017,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
379_turn_018,mm (mm)
379_turn_019,control_temper (how are you at controlling your temper)
379_turn_020,last_argument (when was the last time you argued with someone and what was it about)
379_turn_021,uh_huh (uh huh)
379_turn_022,feelguilty (what's something you feel guilty about)
379_turn_023,hard_decisionB (tell me about the hardest decision you've ever had to make)
379_turn_024,yeah_downer (yeah)
379_turn_025,aw (aw)
379_turn_026,downer (okay)
379_turn_027,mhm (mhm)
379_turn_028,okay_confirm (okay)
379_turn_029,great_situation (that sounds like a great situation)
379_turn_030,right2 (right)
379_turn_031,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
379_turn_032,depression_diagnosed (have you been diagnosed with depression)
